"Player";"Short Name";"Player ID";"Birthdate";"Team";"Team ID";"Competition";"Competition ID";"Season";"Season ID";"Position Group";"Minutes";"Minutes BIP";"Minutes TIP";"Minutes OTIP";"Count Performances (Physical Check passed)";"Count Performances (Physical Check failed)";"Distance";"M/min";"Running Distance";"HSR Distance";"HSR Count";"Sprint Distance";"Sprint Count";"HI Distance";"HI Count";"PSV-99";"TOP 5 PSV-99";"Medium Acceleration Count";"High Acceleration Count";"Medium Deceleration Count";"High Deceleration Count";"Explosive Acceleration to HSR Count";"TOP 3 Time to HSR";"TOP 3 Time to HSR post-COD";"Explosive Acceleration to Sprint Count";"TOP 3 Time to Sprint";"TOP 3 Time to Sprint post-COD";"Change of Direction Count";"TOP 3 Time to 505 around 90";"TOP 3 Time to 505 around 180";"Distance P90";"M/min P90";"Running Distance P90";"HSR Distance P90";"HSR Count P90";"Sprint Distance P90";"Sprint Count P90";"HI Distance P90";"HI Count P90";"Medium Acceleration Count P90";"High Acceleration Count P90";"Medium Deceleration Count P90";"High Deceleration Count P90";"Explosive Acceleration to HSR Count P90";"Explosive Acceleration to Sprint Count P90";"Change of Direction Count P90";"Distance P60BIP";"M/min BIP P60BIP";"Running Distance P60BIP";"HSR Distance P60BIP";"HSR Count P60BIP";"Sprint Distance P60BIP";"Sprint Count P60BIP";"HI Distance BIP P60BIP";"HI Count BIP P60BIP";"Medium Acceleration Count P60BIP";"High Acceleration Count P60BIP";"Medium Deceleration Count P60BIP";"High Deceleration Count P60BIP";"Distance TIP";"M/min TIP";"Running Distance TIP";"HSR Distance TIP";"HSR Count TIP";"Sprint Distance TIP";"Sprint Count TIP";"HI Distance TIP";"HI Count TIP";"Medium Acceleration Count TIP";"High Acceleration Count TIP";"Medium Deceleration Count TIP";"High Deceleration Count TIP";"Explosive Acceleration to HSR Count TIP";"Explosive Acceleration to Sprint Count TIP";"Change of Direction Count TIP";"Distance OTIP";"M/min OTIP";"Running Distance OTIP";"HSR Distance OTIP";"HSR Count OTIP";"Sprint Distance OTIP";"Sprint Count OTIP";"HI Distance OTIP";"HI Count OTIP";"Medium Acceleration Count OTIP";"High Acceleration Count OTIP";"Medium Deceleration Count OTIP";"High Deceleration Count OTIP";"Explosive Acceleration to HSR Count OTIP";"Explosive Acceleration to Sprint Count OTIP";"Change of Direction Count OTIP";"Distance TIP P30TIP";"M/min TIP P30TIP";"Running Distance TIP P30TIP";"HSR Distance TIP P30TIP";"HSR Count TIP P30TIP";"Sprint Distance TIP P30TIP";"Sprint Count TIP P30TIP";"HI Distance TIP P30TIP";"HI Count TIP P30TIP";"Medium Acceleration Count TIP P30TIP";"High Acceleration Count TIP P30TIP";"Medium Deceleration Count TIP P30TIP";"High Deceleration Count TIP P30TIP";"Explosive Acceleration to HSR Count TIP P30TIP";"Explosive Acceleration to Sprint Count TIP P30TIP";"Change of Direction Count TIP P30TIP";"Distance OTIP P30OTIP";"M/min OTIP P30OTIP";"Running Distance OTIP P30OTIP";"HSR Distance OTIP P30OTIP";"HSR Count OTIP P30OTIP";"Sprint Distance OTIP P30OTIP";"Sprint Count OTIP P30OTIP";"HI Distance OTIP P30OTIP";"HI Count OTIP P30OTIP";"Medium Acceleration Count OTIP P30OTIP";"High Acceleration Count OTIP P30OTIP";"Medium Deceleration Count OTIP P30OTIP";"High Deceleration Count OTIP P30OTIP";"Explosive Acceleration to HSR Count OTIP P30OTIP";"Explosive Acceleration to Sprint Count OTIP P30OTIP";"Change of Direction Count OTIP P30OTIP";"Explosive Acceleration to Sprint Count P60BIP";"Explosive Acceleration to HSR Count P60BIP";"Change of Direction Count P60BIP"
"Alexandru Chipciu";"A. Chipciu";"78";"1989-05-18";"FC Universitatea Cluj";"3135";"ROU - Liga 1";"104";"2025/2026";"129";"Full Back";"93,32";"49,75";"25,86";"23,88";"28";"5";"9758,93";"104,57";"1235,64";"499,96";"45,5";"141,36";"8,29";"641,32";"53,79";"27,83";"29,72";"96,39";"5,89";"86,75";"12,39";"4,29";"0,62";"0,62";"1,18";"1,38";"1,53";"27,04";"1,84";"2,57";"9411,72";"104,57";"1191,68";"482,18";"43,88";"136,33";"7,99";"618,5";"51,87";"92,96";"5,68";"83,66";"11,95";"4,13";"1,14";"26,07";"8032,11";"133,87";"1302,46";"555,6";"48,76";"156,76";"8,23";"712,36";"56,99";"82,62";"4,91";"64,49";"9,09";"3299,18";"127,57";"481,96";"216,57";"19,18";"69,0";"3,57";"285,57";"22,75";"28,86";"1,86";"24,21";"3,46";"1,39";"0,54";"9,89";"3360,14";"140,68";"597,89";"244,07";"21,25";"60,96";"3,25";"305,04";"24,5";"39,64";"2,21";"29,25";"4,07";"1,61";"0,29";"14,54";"3827,25";"127,57";"559,11";"251,24";"22,25";"80,04";"4,14";"331,28";"26,39";"33,48";"2,15";"28,09";"4,02";"1,62";"0,62";"11,48";"4220,49";"140,68";"750,98";"306,56";"26,69";"76,57";"4,08";"383,14";"30,77";"49,79";"2,78";"36,74";"5,11";"2,02";"0,36";"18,26";"0,99";"3,62";"29,46"
"Adam Deja";"A. Deja";"178";"1993-06-24";"Górnik Łęczna";"209";"POL - I liga";"407";"2025/2026";"129";"Midfield";"95,51";"48,24";"24,12";"24,12";"23";"1";"11115,43";"116,38";"1854,91";"516,87";"40,35";"90,7";"4,35";"607,57";"44,7";"26,4";"28,06";"100,48";"3,04";"86,0";"10,39";"1,87";"0,7";"0,8";"0,09";"null";"null";"35,61";"1,89";"2,72";"10474,64";"116,38";"1747,98";"487,07";"38,02";"85,47";"4,1";"572,54";"42,12";"94,69";"2,87";"81,04";"9,79";"1,76";"0,08";"33,56";"9671,6";"161,19";"2136,49";"604,89";"45,96";"104,1";"3,95";"708,99";"49,91";"92,04";"2,6";"66,95";"7,9";"3749,26";"155,42";"784,83";"150,39";"11,17";"23,22";"0,83";"173,61";"12,0";"31,7";"0,87";"23,57";"2,17";"0,26";"0,0";"10,78";"4026,91";"166,97";"932,96";"335,96";"25,78";"60,48";"2,35";"396,43";"28,13";"42,3";"1,22";"30,26";"4,17";"0,7";"0,04";"22,65";"4662,5";"155,42";"975,99";"187,02";"13,9";"28,87";"1,03";"215,9";"14,92";"39,42";"1,08";"29,31";"2,7";"0,32";"0,0";"13,41";"5009,14";"166,97";"1160,52";"417,9";"32,07";"75,23";"2,92";"493,13";"34,99";"52,62";"1,51";"37,64";"5,19";"0,87";"0,05";"28,18";"0,05";"1,19";"41,58"
"Antonio Milić";"A. Milić";"988";"1994-03-10";"Lech Poznań";"197";"POL - Ekstraklasa";"43";"2025/2026";"129";"Central Defender";"95,15";"51,15";"28,34";"22,82";"23";"0";"9989,43";"104,98";"1266,0";"365,87";"32,39";"86,22";"4,74";"452,09";"37,13";"27,86";"29,82";"108,65";"4,26";"88,83";"11,39";"2,83";"0,75";"0,82";"0,65";"1,44";"1,65";"24,74";"1,83";"2,97";"9448,47";"104,98";"1197,44";"346,06";"30,64";"81,55";"4,48";"427,6";"35,12";"102,77";"4,03";"84,02";"10,77";"2,67";"0,62";"23,4";"8246,46";"137,44";"1283,5";"386,05";"33,35";"94,65";"4,23";"480,7";"37,58";"89,04";"3,16";"67,57";"6,88";"3699,48";"130,56";"470,78";"86,52";"8,43";"18,7";"0,96";"105,22";"9,39";"36,39";"1,0";"29,3";"2,43";"0,61";"0,09";"6,52";"3331,13";"145,99";"623,48";"242,61";"20,0";"62,0";"2,65";"304,61";"22,65";"39,52";"1,7";"28,3";"3,43";"1,0";"0,43";"14,65";"3916,69";"130,56";"498,42";"91,6";"8,93";"19,79";"1,01";"111,4";"9,94";"38,53";"1,06";"31,02";"2,58";"0,64";"0,09";"6,9";"4379,73";"145,99";"819,74";"318,98";"26,3";"81,52";"3,49";"400,5";"29,78";"51,96";"2,23";"37,21";"4,52";"1,31";"0,57";"19,26";"0,61";"1,89";"24,84"
"Arbër Zeneli";"A. Zeneli";"1011";"1995-02-25";"IF Elfsborg";"1483";"SWE - Allsvenskan";"90";"2026/2026";"130";"Wide Attacker";"62,68";"32,89";"14,92";"17,98";"3";"0";"6938,0";"110,68";"997,67";"513,33";"52,0";"202,67";"12,33";"716,0";"64,33";"28,97";"28,97";"82,0";"9,0";"63,0";"14,0";"6,0";"0,72";"null";"1,67";"1,39";"null";"32,0";"2,32";"3,24";"9961,5";"110,68";"1432,44";"737,04";"74,66";"290,99";"17,71";"1028,02";"92,37";"117,73";"12,92";"90,45";"20,1";"8,61";"2,39";"45,95";"8788,72";"146,48";"1630,06";"862,76";"87,55";"328,32";"19,46";"1191,08";"107,01";"109,44";"9,73";"75,39";"15,2";"2211,33";"148,25";"434,67";"231,33";"21,0";"73,33";"4,33";"304,67";"25,33";"28,0";"3,33";"17,33";"3,0";"2,0";"1,0";"15,67";"2607,0";"145,01";"459,0";"241,67";"27,0";"106,67";"6,33";"348,33";"33,33";"32,0";"2,0";"24,0";"5,33";"1,33";"0,33";"13,67";"4447,37";"148,25";"874,19";"465,25";"42,23";"147,49";"8,72";"612,74";"50,95";"56,31";"6,7";"34,86";"6,03";"4,02";"2,01";"31,51";"4350,37";"145,01";"765,95";"403,28";"45,06";"178,0";"10,57";"581,27";"55,62";"53,4";"3,34";"40,05";"8,9";"2,22";"0,56";"22,81";"2,43";"6,08";"53,5"
"Artem Putivtsev";"A. Putivtsev";"1069";"1988-08-29";"Termalica Bruk-Bet Nieciecza";"210";"POL - Ekstraklasa";"43";"2025/2026";"129";"Central Defender";"73,08";"38,17";"18,12";"20,05";"12";"0";"7836,0";"107,23";"976,75";"352,92";"31,25";"125,33";"6,08";"478,25";"37,33";"29,01";"30,54";"83,58";"3,33";"67,67";"8,08";"1,58";"0,79";"0,91";"1,0";"1,62";"1,78";"17,83";"1,92";"2,86";"9650,72";"107,23";"1202,95";"434,65";"38,49";"154,36";"7,49";"589,01";"45,98";"102,94";"4,11";"83,34";"9,96";"1,95";"1,23";"21,96";"8430,21";"140,5";"1302,91";"490,8";"43,23";"182,72";"7,07";"673,53";"50,3";"89,72";"2,88";"67,85";"6,68";"2380,58";"131,39";"321,0";"66,5";"6,33";"16,83";"0,67";"83,33";"7,0";"20,75";"0,5";"17,33";"1,5";"0,08";"0,0";"3,83";"2982,75";"148,73";"507,92";"245,75";"21,17";"99,42";"3,83";"345,17";"25,0";"36,33";"1,33";"25,83";"2,75";"0,75";"0,5";"12,0";"3941,79";"131,39";"531,51";"110,11";"10,49";"27,87";"1,1";"137,98";"11,59";"34,36";"0,83";"28,7";"2,48";"0,14";"0,0";"6,35";"4462,04";"148,73";"759,82";"367,63";"31,66";"148,72";"5,73";"516,35";"37,4";"54,35";"1,99";"38,65";"4,11";"1,12";"0,75";"17,95";"0,79";"1,31";"24,89"
"Artur Jędrzejczyk";"A. Jędrzejczyk";"1081";"1987-11-04";"Legia Warszawa";"191";"POL - Ekstraklasa";"43";"2025/2026";"129";"Central Defender";"81,51";"43,26";"23,61";"19,65";"5";"0";"8570,0";"105,14";"1232,4";"345,2";"29,6";"59,0";"3,6";"404,2";"33,2";"26,88";"26,88";"103,2";"6,0";"79,2";"13,8";"4,8";"0,74";"0,88";"1,0";"1,8";"null";"24,0";"2,38";"2,99";"9462,26";"105,14";"1360,71";"381,14";"32,68";"65,14";"3,97";"446,28";"36,66";"113,94";"6,62";"87,45";"15,24";"5,3";"1,1";"26,5";"8192,51";"136,54";"1429,13";"427,74";"36,34";"79,89";"3,88";"507,63";"40,22";"96,53";"4,72";"67,96";"8,6";"3047,2";"129,05";"517,6";"94,4";"8,6";"9,8";"0,6";"104,2";"9,2";"31,8";"1,4";"24,0";"2,4";"0,6";"0,0";"6,6";"2859,6";"145,55";"512,8";"214,0";"17,6";"47,8";"2,2";"261,8";"19,8";"37,8";"2,0";"25,0";"3,8";"1,6";"0,4";"14,0";"3871,37";"129,05";"657,59";"119,93";"10,93";"12,45";"0,76";"132,38";"11,69";"40,4";"1,78";"30,49";"3,05";"0,76";"0,0";"8,39";"4366,54";"145,55";"783,03";"326,77";"26,87";"72,99";"3,36";"399,76";"30,23";"57,72";"3,05";"38,17";"5,8";"2,44";"0,61";"21,38";"0,55";"3,05";"28,57"
"Bartlomiej Pawłowski";"B. Pawłowski";"1208";"1992-11-13";"Widzew Łódź";"195";"POL - Ekstraklasa";"43";"2025/2026";"129";"Wide Attacker";"65,66";"35,48";"16,61";"18,87";"4";"0";"7766,25";"118,28";"1227,75";"479,75";"41,5";"106,5";"7,0";"586,25";"48,5";"27,2";"27,2";"96,75";"3,5";"79,0";"14,0";"2,25";"0,82";"0,88";"1,0";"1,94";"null";"29,75";"2,34";"2,77";"10645,45";"118,28";"1682,92";"657,61";"56,89";"145,98";"9,6";"803,59";"66,48";"132,62";"4,8";"108,29";"19,19";"3,08";"1,37";"40,78";"9156,64";"152,61";"1850,1";"742,83";"65,11";"164,89";"9,72";"907,72";"74,83";"115,84";"4,65";"88,36";"13,11";"2439,5";"146,85";"439,5";"196,0";"18,25";"68,25";"3,5";"264,25";"21,75";"31,75";"1,5";"22,75";"3,25";"1,0";"0,5";"10,75";"2975,0";"157,69";"654,5";"243,25";"20,25";"29,25";"2,25";"272,5";"22,5";"36,75";"1,25";"29,5";"4,5";"0,75";"0,25";"16,75";"4405,42";"146,85";"793,68";"353,95";"32,96";"123,25";"6,32";"477,2";"39,28";"57,34";"2,71";"41,08";"5,87";"1,81";"0,9";"19,41";"4730,57";"157,69";"1040,72";"386,79";"32,2";"46,51";"3,58";"433,3";"35,78";"58,44";"1,99";"46,91";"7,16";"1,19";"0,4";"26,63";"1,27";"2,96";"46,51"
"Bartosz Kapustka";"B. Kapustka";"1214";"1996-12-23";"Legia Warszawa";"191";"POL - Ekstraklasa";"43";"2025/2026";"129";"Midfield";"80,49";"43,13";"24,08";"19,05";"21";"0";"9857,9";"122,47";"1646,81";"579,9";"48,43";"118,9";"6,33";"698,81";"54,76";"27,61";"29,44";"102,48";"3,9";"85,14";"12,43";"2,24";"0,68";"0,8";"0,43";"1,5";"1,8";"42,43";"1,91";"2,75";"11022,02";"122,47";"1841,28";"648,39";"54,15";"132,95";"7,08";"781,33";"61,23";"114,58";"4,37";"95,2";"13,9";"2,5";"0,48";"47,44";"9810,0";"163,5";"2089,9";"765,35";"61,81";"154,09";"7,55";"919,44";"69,36";"104,01";"3,11";"75,26";"9,61";"3787,67";"157,3";"710,38";"213,95";"17,95";"37,57";"2,05";"251,52";"20,0";"38,9";"1,14";"28,48";"2,67";"0,71";"0,19";"16,9";"3263,86";"171,34";"791,86";"336,19";"26,48";"73,19";"3,38";"409,38";"29,86";"35,86";"1,1";"25,62";"4,24";"0,52";"0,14";"21,71";"4718,98";"157,3";"885,05";"266,56";"22,37";"46,81";"2,55";"313,37";"24,92";"48,47";"1,42";"35,48";"3,32";"0,89";"0,24";"21,06";"5140,15";"171,34";"1247,07";"529,46";"41,7";"115,27";"5,32";"644,72";"47,02";"56,47";"1,72";"40,35";"6,67";"0,82";"0,22";"34,2";"0,46";"1,72";"53,73"
"Bartosz Śpiączka";"B. Śpiączka";"1220";"1991-08-19";"Górnik Łęczna";"209";"POL - I liga";"407";"2025/2026";"129";"Center Forward";"89,01";"45,09";"24,42";"20,67";"8";"1";"8684,5";"97,56";"972,12";"474,0";"47,0";"146,0";"9,12";"620,0";"56,12";"28,85";"29,4";"88,12";"6,88";"70,88";"14,88";"3,75";"0,77";"0,79";"0,5";"1,78";"null";"28,62";"2,08";"3,08";"8780,85";"97,56";"982,91";"479,26";"47,52";"147,62";"9,23";"626,88";"56,75";"89,1";"6,95";"71,66";"15,04";"3,79";"0,51";"28,94";"7614,19";"126,9";"1161,41";"587,52";"57,55";"181,31";"10,15";"768,84";"67,7";"84,34";"5,82";"60,55";"11,48";"2904,5";"118,94";"408,88";"200,25";"18,75";"73,0";"3,88";"273,25";"22,62";"34,75";"2,5";"22,38";"3,75";"1,38";"0,38";"12,62";"2817,25";"136,32";"463,88";"241,25";"24,5";"63,25";"3,75";"304,5";"28,25";"28,62";"1,88";"23,12";"4,88";"0,75";"0,0";"14,12";"3568,06";"118,94";"502,29";"246,0";"23,03";"89,68";"4,76";"335,68";"27,79";"42,69";"3,07";"27,49";"4,61";"1,69";"0,46";"15,51";"4089,56";"136,32";"673,37";"350,2";"35,56";"91,81";"5,44";"442,02";"41,01";"41,55";"2,72";"33,57";"7,08";"1,09";"0,0";"20,5";"0,5";"2,83";"35,6"
"Bartosz Szeliga";"B. Szeliga";"1221";"1993-01-10";"FKS Stal Mielec";"1555";"POL - I liga";"407";"2025/2026";"129";"Full Back";"90,4";"48,0";"24,08";"23,92";"14";"0";"9841,71";"108,86";"1256,64";"532,71";"50,0";"193,21";"10,21";"725,93";"60,21";"29,11";"30,5";"104,07";"6,14";"90,64";"14,43";"4,14";"0,68";"0,68";"1,71";"1,29";"1,36";"29,5";"2,03";"2,81";"9797,78";"108,86";"1251,03";"530,34";"49,78";"192,35";"10,17";"722,69";"59,95";"103,61";"6,12";"90,24";"14,36";"4,12";"1,71";"29,37";"8416,67";"140,28";"1370,59";"605,43";"55,45";"220,8";"10,89";"826,23";"66,34";"92,68";"5,45";"68,39";"10,71";"3210,0";"133,31";"485,21";"196,57";"18,5";"89,5";"4,14";"286,07";"22,64";"30,86";"2,0";"24,07";"3,07";"1,14";"0,5";"9,0";"3523,5";"147,29";"611,29";"287,79";"25,86";"87,14";"4,57";"374,93";"30,43";"43,29";"2,36";"30,64";"5,5";"1,57";"0,79";"18,0";"3999,41";"133,31";"604,54";"244,91";"23,05";"111,51";"5,16";"356,42";"28,21";"38,45";"2,49";"29,99";"3,83";"1,42";"0,62";"11,21";"4418,62";"147,29";"766,58";"360,9";"32,43";"109,28";"5,73";"470,18";"38,16";"54,28";"2,96";"38,43";"6,9";"1,97";"0,99";"22,57";"1,61";"3,39";"33,75"
