"Player";"Short Name";"Player ID";"Birthdate";"Team";"Team ID";"Competition";"Competition ID";"Season";"Season ID";"Position Group";"Minutes";"Minutes BIP";"Minutes TIP";"Minutes OTIP";"Count Performances (Physical Check passed)";"Count Performances (Physical Check failed)";"Distance";"M/min";"Running Distance";"HSR Distance";"HSR Count";"Sprint Distance";"Sprint Count";"HI Distance";"HI Count";"PSV-99";"TOP 5 PSV-99";"Peak Velocity";"TOP 3 Peak Velocity";"Medium Acceleration Count";"High Acceleration Count";"Medium Deceleration Count";"High Deceleration Count";"Explosive Acceleration to HSR Count";"TOP 3 Time to HSR";"TOP 3 Time to HSR post-COD";"Explosive Acceleration to Sprint Count";"TOP 3 Time to Sprint";"TOP 3 Time to Sprint post-COD";"Change of Direction Count";"TOP 3 Time to 505 around 90";"TOP 3 Time to 505 around 180";"Distance P90";"M/min P90";"Running Distance P90";"HSR Distance P90";"HSR Count P90";"Sprint Distance P90";"Sprint Count P90";"HI Distance P90";"HI Count P90";"Medium Acceleration Count P90";"High Acceleration Count P90";"Medium Deceleration Count P90";"High Deceleration Count P90";"Explosive Acceleration to HSR Count P90";"Explosive Acceleration to Sprint Count P90";"Change of Direction Count P90";"Distance P60BIP";"M/min BIP P60BIP";"Running Distance P60BIP";"HSR Distance P60BIP";"HSR Count P60BIP";"Sprint Distance P60BIP";"Sprint Count P60BIP";"HI Distance BIP P60BIP";"HI Count BIP P60BIP";"Medium Acceleration Count P60BIP";"High Acceleration Count P60BIP";"Medium Deceleration Count P60BIP";"High Deceleration Count P60BIP";"Explosive Acceleration to HSR Count P60BIP";"Explosive Acceleration to Sprint Count P60BIP";"Change of Direction Count P60BIP";"Distance TIP";"M/min TIP";"Running Distance TIP";"HSR Distance TIP";"HSR Count TIP";"Sprint Distance TIP";"Sprint Count TIP";"HI Distance TIP";"HI Count TIP";"Medium Acceleration Count TIP";"High Acceleration Count TIP";"Medium Deceleration Count TIP";"High Deceleration Count TIP";"Explosive Acceleration to HSR Count TIP";"Explosive Acceleration to Sprint Count TIP";"Change of Direction Count TIP";"Distance OTIP";"M/min OTIP";"Running Distance OTIP";"HSR Distance OTIP";"HSR Count OTIP";"Sprint Distance OTIP";"Sprint Count OTIP";"HI Distance OTIP";"HI Count OTIP";"Medium Acceleration Count OTIP";"High Acceleration Count OTIP";"Medium Deceleration Count OTIP";"High Deceleration Count OTIP";"Explosive Acceleration to HSR Count OTIP";"Explosive Acceleration to Sprint Count OTIP";"Change of Direction Count OTIP";"Distance TIP P30TIP";"M/min TIP P30TIP";"Running Distance TIP P30TIP";"HSR Distance TIP P30TIP";"HSR Count TIP P30TIP";"Sprint Distance TIP P30TIP";"Sprint Count TIP P30TIP";"HI Distance TIP P30TIP";"HI Count TIP P30TIP";"Medium Acceleration Count TIP P30TIP";"High Acceleration Count TIP P30TIP";"Medium Deceleration Count TIP P30TIP";"High Deceleration Count TIP P30TIP";"Explosive Acceleration to HSR Count TIP P30TIP";"Explosive Acceleration to Sprint Count TIP P30TIP";"Change of Direction Count TIP P30TIP";"Distance OTIP P30OTIP";"M/min OTIP P30OTIP";"Running Distance OTIP P30OTIP";"HSR Distance OTIP P30OTIP";"HSR Count OTIP P30OTIP";"Sprint Distance OTIP P30OTIP";"Sprint Count OTIP P30OTIP";"HI Distance OTIP P30OTIP";"HI Count OTIP P30OTIP";"Medium Acceleration Count OTIP P30OTIP";"High Acceleration Count OTIP P30OTIP";"Medium Deceleration Count OTIP P30OTIP";"High Deceleration Count OTIP P30OTIP";"Explosive Acceleration to HSR Count OTIP P30OTIP";"Explosive Acceleration to Sprint Count OTIP P30OTIP";"Change of Direction Count OTIP P30OTIP"
"Adam  Matthews";"A. Matthews";"198";"1992-01-13";"Shamrock Rovers FC";"547";"IRL - Premier Division";"406";"2025/2025";"128";"Central Defender";"72.45";"44.87";"28.59";"16.28";"5";"0";"7887.4";"108.86";"811.2";"292.0";"27.2";"102.8";"4.4";"394.8";"31.6";"29.88";"29.88";"31.24";"32.3";"72.6";"3.6";"61.0";"5.2";"2.0";"0.79";"null";"0.6";"null";"null";"12.2";"null";"3.2";"9797.56";"108.86";"1007.66";"362.72";"33.79";"127.7";"5.47";"490.41";"39.25";"90.18";"4.47";"75.77";"6.46";"2.48";"0.75";"15.15";"7826.56";"130.44";"973.67";"358.07";"33.69";"131.3";"5.08";"489.38";"38.78";"71.13";"2.41";"55.36";"4.81";"1.34";"0.27";"15.24";"3404.0";"119.05";"307.2";"107.4";"11.2";"35.8";"1.4";"143.2";"12.6";"27.4";"1.2";"24.4";"1.8";"0.4";"0.0";"4.8";"2449.4";"150.45";"421.0";"160.4";"14.0";"62.4";"2.4";"222.8";"16.4";"25.8";"0.6";"17.0";"1.8";"0.6";"0.2";"6.6";"3571.46";"119.05";"322.31";"112.68";"11.75";"37.56";"1.47";"150.24";"13.22";"28.75";"1.26";"25.6";"1.89";"0.42";"0.0";"5.04";"4513.64";"150.45";"775.8";"295.58";"25.8";"114.99";"4.42";"410.57";"30.22";"47.54";"1.11";"31.33";"3.32";"1.11";"0.37";"12.16"
"Adam  Matthews";"A. Matthews";"198";"1992-01-13";"Shamrock Rovers FC";"547";"IRL - Premier Division";"406";"2025/2025";"128";"Full Back";"96.21";"56.91";"31.41";"25.5";"5";"0";"10885.4";"113.15";"1320.4";"509.6";"43.4";"201.2";"7.2";"710.8";"50.6";"29.98";"29.98";"31.48";"32.67";"100.6";"6.0";"91.8";"9.2";"4.4";"0.63";"0.7";"1.2";"1.53";"null";"21.2";"2.39";"null";"10183.14";"113.15";"1235.22";"476.72";"40.6";"188.22";"6.74";"664.94";"47.34";"94.11";"5.61";"85.88";"8.61";"4.12";"1.12";"19.83";"8271.73";"137.86";"1246.11";"505.19";"42.59";"192.29";"6.75";"697.48";"49.34";"81.18";"5.27";"62.62";"6.11";"3.37";"1.05";"21.08";"4196.6";"133.61";"617.8";"241.6";"19.6";"115.8";"3.8";"357.4";"23.4";"38.4";"2.2";"30.8";"3.0";"1.0";"0.6";"8.4";"3649.6";"143.1";"564.2";"237.6";"20.8";"66.6";"2.6";"304.2";"23.4";"38.6";"2.8";"28.6";"2.8";"2.2";"0.4";"11.6";"4008.21";"133.61";"590.07";"230.75";"18.72";"110.6";"3.63";"341.36";"22.35";"36.68";"2.1";"29.42";"2.87";"0.96";"0.57";"8.02";"4293.09";"143.1";"663.68";"279.49";"24.47";"78.34";"3.06";"357.84";"27.53";"45.41";"3.29";"33.64";"3.29";"2.59";"0.47";"13.65"
"Albin Ekdal";"A. Ekdal";"392";"1989-07-28";"Djurgardens IF";"522";"SWE - Allsvenskan";"90";"2025/2025";"128";"Midfield";"49.92";"27.01";"12.7";"14.31";"9";"0";"5962.56";"119.45";"1028.33";"272.22";"22.67";"37.89";"2.33";"310.11";"25.0";"26.03";"26.82";"27.84";"29.6";"59.44";"2.67";"49.56";"8.56";"1.44";"0.83";"0.86";"0.33";"1.62";"null";"20.33";"2.17";"2.84";"10750.12";"119.45";"1854.02";"490.8";"40.87";"68.31";"4.21";"559.11";"45.07";"107.17";"4.81";"89.35";"15.43";"2.6";"0.6";"36.66";"9590.37";"159.84";"2130.67";"578.4";"44.93";"76.53";"3.7";"654.93";"48.63";"89.61";"4.2";"68.63";"9.87";"1.73";"0.49";"41.47";"1971.67";"155.27";"375.11";"68.33";"6.33";"10.44";"0.44";"78.78";"6.78";"16.67";"0.89";"12.44";"1.44";"0.11";"0.0";"6.78";"2344.89";"163.89";"583.89";"192.0";"13.89";"24.0";"1.22";"216.0";"15.11";"23.67";"1.0";"18.44";"3.0";"0.67";"0.22";"11.89";"4658.16";"155.27";"886.22";"161.44";"14.96";"24.68";"1.05";"186.12";"16.01";"39.38";"2.1";"29.4";"3.41";"0.26";"0.0";"16.01";"4916.8";"163.89";"1224.31";"402.59";"29.12";"50.32";"2.56";"452.91";"31.69";"49.62";"2.1";"38.67";"6.29";"1.4";"0.47";"24.93"
"Alexander Fransson";"A. Fransson";"531";"1994-04-02";"IFK Norrköping";"1484";"SWE - Allsvenskan";"90";"2025/2025";"128";"Midfield";"78.15";"41.43";"18.78";"22.65";"21";"0";"9251.43";"118.37";"1579.1";"546.95";"41.33";"90.29";"5.14";"637.24";"46.48";"27.02";"29.22";"29.01";"31.17";"97.24";"3.81";"84.05";"11.95";"2.62";"0.62";"0.65";"0.52";"1.51";"1.51";"29.48";"1.97";"2.74";"10653.7";"118.37";"1818.44";"629.86";"47.6";"103.97";"5.92";"733.83";"53.52";"111.98";"4.39";"96.79";"13.76";"3.02";"0.6";"33.94";"9539.26";"158.99";"2090.01";"743.55";"54.83";"121.18";"5.52";"864.72";"60.35";"101.93";"3.31";"77.31";"10.9";"1.86";"0.34";"40.0";"2755.33";"146.72";"493.05";"111.24";"9.29";"17.43";"0.81";"128.67";"10.1";"23.71";"0.86";"19.0";"2.19";"0.48";"0.05";"7.24";"3831.05";"169.16";"950.0";"402.14";"28.57";"66.24";"3.0";"468.38";"31.57";"46.67";"1.43";"34.38";"5.33";"0.81";"0.19";"20.38";"4401.45";"146.72";"787.61";"177.7";"14.83";"27.84";"1.29";"205.54";"16.13";"37.88";"1.37";"30.35";"3.5";"0.76";"0.08";"11.56";"5074.95";"169.16";"1258.45";"532.71";"37.85";"87.74";"3.97";"620.46";"41.82";"61.82";"1.89";"45.54";"7.07";"1.07";"0.25";"27.0"
"Anders Bleg Christiansen";"A. Christiansen";"691";"1990-06-08";"Malmo FF";"426";"SWE - Allsvenskan";"90";"2025/2025";"128";"Center Forward";"56.19";"29.41";"16.53";"12.88";"3";"0";"6647.67";"118.31";"1077.33";"371.33";"30.0";"89.0";"4.67";"460.33";"34.67";"28.0";"28.0";"29.27";"29.27";"72.0";"4.67";"57.0";"9.33";"4.0";"0.91";"null";"0.33";"null";"null";"29.0";"2.4";"3.18";"10647.83";"118.31";"1725.61";"594.78";"48.05";"142.55";"7.47";"737.33";"55.53";"115.33";"7.47";"91.3";"14.95";"6.41";"0.53";"46.45";"9555.57";"159.26";"1984.96";"701.1";"57.8";"167.28";"6.8";"868.38";"64.6";"102.0";"6.12";"74.8";"11.56";"4.08";"0.0";"54.4";"2599.0";"157.2";"551.0";"174.33";"15.0";"58.67";"2.33";"233.0";"17.33";"29.67";"1.67";"21.0";"2.67";"1.33";"0.0";"13.33";"2085.0";"161.91";"422.0";"169.33";"13.33";"23.33";"1.0";"192.67";"14.33";"20.33";"1.33";"15.67";"3.0";"0.67";"0.0";"13.33";"4715.93";"157.2";"999.8";"316.33";"27.22";"106.45";"4.23";"422.78";"31.45";"53.83";"3.02";"38.1";"4.84";"2.42";"0.0";"24.19";"4857.2";"161.91";"983.09";"394.48";"31.06";"54.36";"2.33";"448.84";"33.39";"47.37";"3.11";"36.5";"6.99";"1.55";"0.0";"31.06"
"Anders Bleg Christiansen";"A. Christiansen";"691";"1990-06-08";"Malmo FF";"426";"SWE - Allsvenskan";"90";"2025/2025";"128";"Wide Attacker";"49.86";"27.32";"18.24";"9.07";"4";"0";"6200.5";"124.35";"1095.0";"433.25";"31.5";"79.0";"4.0";"512.25";"35.5";"27.3";"27.3";"28.35";"28.87";"65.75";"3.5";"51.75";"8.5";"2.25";"0.97";"null";"0.25";"null";"null";"19.75";"2.36";"null";"11191.68";"124.35";"1976.44";"782.0";"56.86";"142.59";"7.22";"924.59";"64.08";"118.68";"6.32";"93.41";"15.34";"4.06";"0.45";"35.65";"9646.31";"160.77";"2115.19";"884.08";"63.7";"154.85";"6.04";"1038.93";"69.74";"107.63";"4.94";"72.48";"12.63";"2.75";"0.55";"39.54";"2877.25";"157.73";"633.75";"236.5";"17.25";"47.5";"1.5";"284.0";"18.75";"33.5";"1.5";"23.5";"2.5";"1.0";"0.25";"10.25";"1514.5";"166.89";"329.25";"166.0";"11.75";"23.0";"1.25";"189.0";"13.0";"15.5";"0.75";"9.5";"3.25";"0.25";"0.0";"7.75";"4731.89";"157.73";"1042.26";"388.94";"28.37";"78.12";"2.47";"467.06";"30.84";"55.09";"2.47";"38.65";"4.11";"1.64";"0.41";"16.86";"5006.61";"166.89";"1088.43";"548.76";"38.84";"76.03";"4.13";"624.79";"42.98";"51.24";"2.48";"31.4";"10.74";"0.83";"0.0";"25.62"
"Arbër Zeneli";"A. Zeneli";"1011";"1995-02-25";"IF Elfsborg";"1483";"SWE - Allsvenskan";"90";"2025/2025";"128";"Wide Attacker";"55.67";"31.64";"15.2";"16.44";"12";"0";"6198.08";"111.33";"870.42";"450.67";"47.67";"201.33";"10.83";"652.0";"58.5";"29.69";"31.04";"30.88";"32.43";"72.33";"7.33";"57.08";"13.67";"5.58";"0.62";"0.63";"2.0";"1.16";"1.16";"29.92";"1.87";"2.95";"10019.35";"111.33";"1407.05";"728.51";"77.05";"325.46";"17.51";"1053.97";"94.57";"116.93";"11.85";"92.28";"22.09";"9.03";"3.23";"48.36";"8351.54";"139.19";"1483.71";"788.55";"81.7";"350.03";"18.17";"1138.58";"99.87";"97.98";"8.69";"67.64";"15.64";"6.48";"2.21";"52.15";"2101.83";"138.24";"357.25";"216.08";"22.58";"106.08";"5.67";"322.17";"28.25";"25.33";"2.25";"16.0";"3.33";"1.67";"0.83";"13.08";"2302.25";"140.07";"425.17";"199.75";"20.5";"78.5";"3.92";"278.25";"24.42";"26.33";"2.33";"19.67";"4.92";"1.75";"0.33";"14.42";"4147.22";"138.24";"704.91";"426.36";"44.56";"209.32";"11.18";"635.68";"55.74";"49.99";"4.44";"31.57";"6.58";"3.29";"1.64";"25.82";"4202.18";"140.07";"776.04";"364.59";"37.42";"143.28";"7.15";"507.88";"44.57";"48.06";"4.26";"35.9";"8.97";"3.19";"0.61";"26.31"
"Bart Straalman";"B. Straalman";"1200";"1996-08-22";"FC Inter Turku";"1769";"FIN - Veikkausliiga";"323";"2025/2025";"128";"Central Defender";"98.08";"56.81";"30.54";"26.27";"21";"0";"10253.0";"104.53";"1323.33";"425.62";"40.52";"128.0";"7.24";"553.62";"47.76";"28.46";"30.06";"30.15";"32.3";"113.57";"5.48";"90.71";"10.95";"3.9";"0.6";"0.66";"0.81";"1.29";"1.61";"22.05";"2.0";"2.99";"9407.94";"104.53";"1214.26";"390.54";"37.18";"117.45";"6.64";"507.99";"43.83";"104.21";"5.02";"83.24";"10.05";"3.58";"0.74";"20.23";"7801.07";"130.02";"1193.95";"397.53";"37.87";"121.91";"6.59";"519.44";"44.46";"86.96";"4.02";"67.24";"6.94";"2.41";"0.65";"21.17";"3707.57";"121.4";"504.76";"123.86";"12.29";"29.0";"1.81";"152.86";"14.1";"35.14";"1.62";"28.81";"2.76";"0.76";"0.14";"5.67";"3678.48";"140.04";"625.67";"252.52";"23.57";"86.43";"4.43";"338.95";"28.0";"47.19";"2.19";"34.86";"3.81";"1.52";"0.48";"14.38";"3641.96";"121.4";"495.83";"121.67";"12.07";"28.49";"1.78";"150.15";"13.85";"34.52";"1.59";"28.3";"2.71";"0.75";"0.14";"5.57";"4201.18";"140.04";"714.57";"288.41";"26.92";"98.71";"5.06";"387.12";"31.98";"53.9";"2.5";"39.81";"4.35";"1.74";"0.54";"16.42"
"Filip Helander";"F. Helander";"3438";"1993-04-22";"BK Hacken";"523";"SWE - Allsvenskan";"90";"2025/2025";"128";"Central Defender";"98.46";"59.0";"30.86";"28.14";"6";"0";"11110.33";"112.84";"1365.17";"417.33";"39.0";"125.17";"7.33";"542.5";"46.33";"28.82";"29.32";"31.05";"31.77";"119.0";"5.17";"101.17";"8.0";"2.5";"0.85";"0.85";"0.5";"null";"null";"22.83";"2.29";"null";"10155.58";"112.84";"1247.85";"381.47";"35.65";"114.41";"6.7";"495.88";"42.35";"108.77";"4.72";"92.47";"7.31";"2.29";"0.46";"20.87";"8432.94";"140.55";"1241.24";"381.37";"34.07";"111.53";"6.27";"492.9";"40.34";"86.61";"3.22";"69.83";"4.75";"1.02";"0.34";"20.68";"4238.67";"137.35";"553.5";"90.5";"9.67";"22.33";"1.17";"112.83";"10.83";"35.0";"1.5";"32.33";"1.83";"0.33";"0.17";"7.0";"4053.33";"144.06";"667.0";"284.5";"23.83";"87.33";"5.0";"371.83";"28.83";"50.17";"1.67";"36.33";"2.83";"0.67";"0.17";"13.33";"4120.4";"137.35";"538.06";"87.97";"9.4";"21.71";"1.13";"109.68";"10.53";"34.02";"1.46";"31.43";"1.78";"0.32";"0.16";"6.8";"4321.85";"144.06";"711.19";"303.35";"25.41";"93.12";"5.33";"396.47";"30.74";"53.49";"1.78";"38.74";"3.02";"0.71";"0.18";"14.22"
"Isaac Kiese Thelin";"I. Kiese Thelin";"4479";"1992-06-24";"Malmo FF";"426";"SWE - Allsvenskan";"90";"2025/2025";"128";"Center Forward";"68.02";"38.37";"21.05";"17.32";"10";"0";"7868.5";"115.69";"1233.8";"490.4";"43.4";"83.1";"5.4";"573.5";"48.8";"26.63";"27.24";"28.47";"29.7";"85.0";"6.4";"73.1";"11.7";"4.6";"0.77";"0.86";"0.5";"2.3";"null";"31.7";"2.05";"2.77";"10411.89";"115.69";"1632.61";"648.92";"57.43";"109.96";"7.15";"758.88";"64.57";"112.48";"8.47";"96.73";"15.48";"6.09";"0.66";"41.95";"8811.02";"146.85";"1720.95";"709.49";"60.21";"120.26";"6.1";"829.75";"66.3";"91.17";"6.26";"71.0";"10.32";"4.07";"0.63";"45.51";"2902.9";"137.92";"493.7";"237.3";"20.7";"48.9";"2.7";"286.2";"23.4";"32.4";"2.3";"23.2";"2.7";"1.7";"0.3";"13.7";"2731.5";"157.71";"606.8";"216.4";"17.8";"28.0";"1.2";"244.4";"19.0";"25.9";"1.7";"22.2";"3.9";"0.9";"0.1";"15.4";"4137.48";"137.92";"703.67";"338.22";"29.5";"69.7";"3.85";"407.92";"33.35";"46.18";"3.28";"33.07";"3.85";"2.42";"0.43";"19.53";"4731.24";"157.71";"1051.04";"374.83";"30.83";"48.5";"2.08";"423.33";"32.91";"44.86";"2.94";"38.45";"6.76";"1.56";"0.17";"26.67"
